 Pvap bin lower limit [log10(Cstar)], Pvap bin upper limit [log10(Cstar)], Time [s], Kh [M/atm], MW [g/mol], Yield (SOA), Yield (total), Atomic O/C ratio, Atomic H/C ratio, Atomic N/C ratio, Precursor [ppb]                                                                                                               
-4,-3,1505.629639,1.61923E+12,114.0992734,0,0,0.600000514,1.199999743,9.47E-11,149.9422762
-3,-2,1505.629639,7.95E+17,119.1942951,0,0,0.283812594,0.88941188,7.55E-05,149.9422762
-2,-1,1505.629639,2.41819E+15,184.7289229,0,0,0.692661031,0.910019397,0.259084731,149.9422762
-1,0,1505.629639,1.6825E+14,114.3685599,0,0,0.604331878,1.19859777,2.08E-04,149.9422762
0,1,1505.629639,1049733864,164.037943,0,0,2.333114665,0.666776006,0.333278669,149.9422762
1,2,1505.629639,6.67713E+11,132.2618473,0,0,1.491524112,1.002223968,9.53E-02,149.9422762
2,3,1505.629639,9266987504,90.05599964,0,0,2.000164968,0.999943799,1.16E-04,149.9422762
3,4,1505.629639,138665.3746,120.0436101,0,0,1.665421737,1.333175095,2.01E-05,149.9422762
4,5,1505.629639,6.9344E+14,144.9851352,0,0,1.288988217,1.002970254,0.141662582,149.9422762
5,6,1505.629639,60018059.52,119.0769961,0,0,1.333336838,1.666661529,0.3333336,149.9422762
6,7,1505.629639,1999221.322,210.0193702,0,0,2.99945642,0.666938457,0.666394877,149.9422762
7,8,1505.629639,3811781.001,349.306486,0,0,2.826725527,0.935412444,0.673021588,149.9422762
8,9,1505.629639,9187.432956,255.7229874,0,0,3.637146486,0.998809884,0.987702672,149.9422762
9,10,1505.629639,22614.51195,204.8737171,0,0,1.6,0.611213561,0.196262146,149.9422762
-10,-9,1806.555542,0,0,0,0,0,0,0,149.9422762
-9,-8,1806.555542,8.99968E+15,147.0641892,0,0,1.49999543,0.750029704,0,149.9422762
-8,-7,1806.555542,8.84E+17,201.1906047,0,0,2.007988584,0.804918448,3.59E-07,149.9422762
-7,-6,1806.555542,3.00522E+14,140.1361942,0,0,0.428571623,1.142857068,1.67E-16,149.9422762
-6,-5,1806.555542,7.47E+17,120.7501143,0,0,0.922720019,0.85545295,5.09E-08,149.9422762
-5,-4,1806.555542,5.92596E+11,120.9675324,0,0,0.714336321,0.720461541,8.69E-02,149.9422762
-4,-3,1806.555542,1.13218E+12,114.0992027,0,0,0.600000351,1.199999824,1.02E-10,149.9422762
-3,-2,1806.555542,8.58E+17,119.9862655,0,0,0.277028564,0.879494324,1.31E-04,149.9422762
-2,-1,1806.555542,2.86869E+15,191.1550746,0,0,0.699069524,0.87122213,0.271351002,149.9422762
-1,0,1806.555542,2.17252E+14,114.4424407,0,0,0.604948843,1.198377248,1.32E-04,149.9422762
0,1,1806.555542,1137391984,164.0157256,0,0,2.332724818,0.666970932,0.333181209,149.9422762
1,2,1806.555542,1.09627E+12,124.8998079,0,0,1.326744749,1.003652327,7.38E-02,149.9422762
2,3,1806.555542,10402273175,90.05503524,0,0,2.000137601,0.999950637,1.08E-04,149.9422762
3,4,1806.555542,165315.7555,120.044433,0,0,1.665387294,1.333167427,2.28E-05,149.9422762
4,5,1806.555542,6.45314E+14,140.4828143,0,0,1.302189209,1.004203202,0.133272379,149.9422762
5,6,1806.555542,60072251.42,119.0839648,0,0,1.333327993,1.666619469,0.33329473,149.9422762
6,7,1806.555542,1999502.111,210.0326005,0,0,2.999652434,0.66684045,0.666492884,149.9422762
7,8,1806.555542,4618846.137,366.483406,0,0,3.075875789,0.841049699,0.757766952,149.9422762
8,9,1806.555542,11614.81453,241.2188823,0,0,3.35589199,0.998523536,0.871301751,149.9422762
9,10,1806.555542,732516.8374,197.045597,0,0,1.6,1.038865565,5.37E-02,149.9422762
-10,-9,2107.481445,0,0,0,0,0,0,0,149.9422762
-9,-8,2107.481445,8.99967E+15,147.0642544,0,0,1.499995227,0.750031026,0,149.9422762
-8,-7,2107.481445,8.93E+17,200.7831164,0,0,2.021883791,0.80279634,3.27E-07,149.9422762
-7,-6,2107.481445,3.00534E+14,140.1361941,0,0,0.428571627,1.142857067,2.54E-16,149.9422762
-6,-5,2107.481445,7.46E+17,120.7004891,0,0,0.924469918,0.855696711,3.21E-08,149.9422762
-5,-4,2107.481445,5.71723E+11,122.4595188,0,0,0.771745479,0.706734216,9.57E-02,149.9422762
-4,-3,2107.481445,8.84326E+11,114.0991667,0,0,0.600000269,1.199999866,1.10E-10,149.9422762
-3,-2,2107.481445,8.95E+17,120.5046105,0,0,0.276836918,0.87372897,2.00E-04,149.9422762
-2,-1,2107.481445,3.27552E+15,193.6307165,0,0,0.704399888,0.863170884,0.276269405,149.9422762
-1,0,2107.481445,2.66233E+14,114.5183893,0,0,0.605786084,1.198092325,1.02E-04,149.9422762
0,1,2107.481445,1187574786,164.002959,0,0,2.332500796,0.667082944,0.333125204,149.9422762
1,2,2107.481445,1.58594E+12,120.1354872,0,0,1.221867693,1.005284469,6.00E-02,149.9422762
2,3,2107.481445,12521050342,90.06710373,0,0,2.000203031,0.999924603,1.69E-04,149.9422762
3,4,2107.481445,247712.7626,120.0367417,0,0,1.664629169,1.333064063,3.97E-05,149.9422762
4,5,2107.481445,6.07359E+14,137.019879,0,0,1.312299455,1.005475525,0.126955727,149.9422762
5,6,2107.481445,60132104.31,119.0828782,0,0,1.333359933,1.666625053,0.333334898,149.9422762
6,7,2107.481445,1999264.888,210.021423,0,0,2.999486832,0.666923251,0.666410083,149.9422762
7,8,2107.481445,4854771.519,371.9118143,0,0,3.150113218,0.814205847,0.783165895,149.9422762
8,9,2107.481445,12590.84665,235.3258685,0,0,3.240701837,0.99809408,0.823607239,149.9422762
9,10,2107.481445,808095.8914,196.2121839,0,0,1.6,1.084395115,3.85E-02,149.9422762
-10,-9,2408.407471,0,0,0,0,0,0,0,149.9422762
-9,-8,2408.407471,8.99965E+15,147.0643154,0,0,1.499995036,0.750032263,0,149.9422762
-8,-7,2408.407471,9.00E+17,200.457423,0,0,2.032893964,0.801169046,3.01E-07,149.9422762
-7,-6,2408.407471,3.00547E+14,140.136194,0,0,0.428571632,1.142857065,3.72E-16,149.9422762
-6,-5,2408.407471,7.46E+17,120.6539566,0,0,0.926093757,0.855907719,3.20E-08,149.9422762
-5,-4,2408.407471,5.60519E+11,123.2595092,0,0,0.80251575,0.699378355,0.10035366,149.9422762
-4,-3,2408.407471,7.3441E+11,114.099145,0,0,0.600000219,1.199999891,1.17E-10,149.9422762
-3,-2,2408.407471,9.19E+17,120.8603148,0,0,0.278115173,0.870022636,2.78E-04,149.9422762
-2,-1,2408.407471,3.67713E+15,194.9205315,0,0,0.707539282,0.859553808,0.278839694,149.9422762
-1,0,2408.407471,3.1416E+14,114.5932749,0,0,0.606659081,1.197797765,8.37E-05,149.9422762
0,1,2408.407471,1319107722,163.9695546,0,0,2.331914627,0.667376035,0.332978666,149.9422762
1,2,2408.407471,2.01987E+12,120.0234888,0,0,1.222902332,1.00673088,5.99E-02,149.9422762
2,3,2408.407471,16080902349,90.0721139,0,0,2.000186674,0.999923002,1.88E-04,149.9422762
3,4,2408.407471,381238.1197,120.0270138,0,0,1.66357393,1.332917609,6.49E-05,149.9422762
4,5,2408.407471,5.79242E+14,134.5339354,0,0,1.319517316,1.006689162,0.122547802,149.9422762
5,6,2408.407471,60273299.28,119.0900081,0,0,1.333387381,1.666580322,0.333336453,149.9422762
6,7,2408.407471,1999301.808,210.0231626,0,0,2.999512604,0.666910365,0.666422969,149.9422762
7,8,2408.407471,4926560.578,373.7176516,0,0,3.173535189,0.806503633,0.791105723,149.9422762
8,9,2408.407471,13310.29615,230.9407075,0,0,3.154371286,0.997564668,0.787847737,149.9422762
9,10,2408.407471,722876.9285,197.1518967,0,0,1.6,1.033058391,5.56E-02,149.9422762
-10,-9,2709.333252,0,0,0,0,0,0,0,149.9422762
-9,-8,2709.333252,8.99964E+15,147.0643715,0,0,1.499994861,0.750033401,0,149.9422762
-8,-7,2709.333252,9.06E+17,200.1921501,0,0,2.041785734,0.799897287,2.80E-07,149.9422762
-7,-6,2709.333252,3.0056E+14,140.1361938,0,0,0.428571637,1.142857063,5.24E-16,149.9422762
-6,-5,2709.333252,7.45E+17,120.60725,0,0,0.927727403,0.856123533,2.26E-08,149.9422762
-5,-4,2709.333252,5.57545E+11,123.4711731,0,0,0.810647067,0.697435945,0.101593995,149.9422762
-4,-3,2709.333252,6.26025E+11,114.0991293,0,0,0.600000183,1.199999909,1.25E-10,149.9422762
-3,-2,2709.333252,9.36E+17,121.1380713,0,0,0.279895761,0.867272774,3.67E-04,149.9422762
-2,-1,2709.333252,4.0459E+15,195.6494472,0,0,0.709577792,0.857934089,0.280299967,149.9422762
-1,0,2709.333252,3.6477E+14,114.6726998,0,0,0.607613184,1.197477627,7.13E-05,149.9422762
0,1,2709.333252,1472395589,163.9306197,0,0,2.331231384,0.667717669,0.332807863,149.9422762
1,2,2709.333252,2.48355E+12,119.4563283,0,0,1.213776438,1.008276477,5.85E-02,149.9422762
2,3,2709.333252,21794008359,90.08157042,0,0,2.000173522,0.999916104,2.27E-04,149.9422762
3,4,2709.333252,525063.5081,120.0215658,0,0,1.662746784,1.332795991,8.93E-05,149.9422762
4,5,2709.333252,5.57385E+14,132.6760311,0,0,1.324872932,1.0078871,0.119376152,149.9422762
5,6,2709.333252,60513930.18,119.1027153,0,0,1.333438057,1.666498082,0.333339647,149.9422762
6,7,2709.333252,1999343.069,210.0251068,0,0,2.999541407,0.666895963,0.666437371,149.9422762
7,8,2709.333252,4955629.667,374.5211311,0,0,3.183417853,0.803610177,0.794418929,149.9422762
8,9,2709.333252,14154.32075,225.8019744,0,0,3.05328959,0.996973118,0.745980026,149.9422762
